Mineralienwelt 1 / 91,Bernd Habel,Über einige interessante Fundstellen im Rhein- Sieg- Kreis Teil 1,"Altglück- Neuglück, Himberg, Merten an der Sieg, Grube Silistra",
Mineralienwelt 2 / 91,Dieter Bender,"Grube Victoria, Grube Merkur", ,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 02 300.pdf
Mineralienwelt 2 / 91,Bernd Habel,Über einige interessante Fundstellen im Rhein- Sieg- Kreis Teil 2,"Soller bei Humerzheim, Steinerberg / Ahr, Grube Ziethen, ",
Mineralienwelt 2 / 91,Gerhard Niedermayr,"Die Mineralien im Nationalpark Hohe Tauern, Österreich","Untersulzbachtal, Knappenwand, Habachtal etc.",
Mineralienwelt 2 / 91,"Günther Blaß, Hans Werner Graf",Die Schlackenbildungen der Zink- und Bleihütte Münsterbusch in Stolberg bei Aachen Teil 1,,
Mineralienwelt 2 / 91,"Rolf Heeren, Ralph Vetter",Chalkophyllit aus Rheinbreitbach,,
Mineralienwelt 2 / 91,Bernd Keller,Nicht nur Topase: Crandallit und andere Mineralien vom Schneckenstein im Vogtland,"z.B. Cassiterit, Ilmenorutil, Alumochalkosiderit",
Mineralienwelt 2 / 91,Fritz Pfaffl,"Die Kluftmineralien vom Granitsteinbruch am Teufelstisch, Bischofsmais, Bayerischer Wald",z.B. Würfelquarz,
Mineralienwelt 2 / 91,Hasso Lutz Gehrmann,Mineralfälschungen und - Verfälschungen,,
Mineralienwelt 3 / 91,Dieter Bender,Die Halden der Grube Churfürst - Ernst bei Bönkhausen im Sauerland,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 03 300.pdf
Mineralienwelt 3 / 91,Gary M. Edson,Mineralien aus der roten Wolke,"Red Cloud Mine, La Paz County, Arizona",
Mineralienwelt 3 / 91,"Reiner Haake, Fritz Hofmann",Die Mineralien der Skarnlagerstätte Pöhla im Erzgebirge,!,
Mineralienwelt 3 / 91,"Günther Blaß, Hans Werner Graf",Die Schlackenbildungen der Zink- und Bleihütte Münsterbusch in Stolberg bei Aachen Teil 2,,
Mineralienwelt 3 / 91,Gerhard Niedermayr,"Der Steinbruch ""Gruber"" bei Großarl in Salzburg",,
Mineralienwelt 4 / 91,Erwin Löffler,Sammlerglück per Luftmatraze,"Zoisit vom Cap Corse, Korsika",D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 04 300.pdf
Mineralienwelt 4 / 91,"Dieter Götz, Fritz Schlegel","Russelit und Anatas von der historischen Wolframitgrube ""Montanus"" in Schneeberg",,
Mineralienwelt 4 / 91,Ralph Cannon,"Die Grube Lengenbach im Kanton Wallis, Schweiz",,
Mineralienwelt 4 / 91,Gustav Schuler,"Ein bemerkenswerter Fundort für Calcit im Achtal bei Blaubeuren, Würtemberg","Zwillinge nach (0221), sowie nach (0112)",
Mineralienwelt 4 / 91,Gerhard Niedermayr,Eine Dose aus Bleiberger Muschelmarmor,,
Mineralienwelt 4 / 91,Hasso Lutz Gehrmann,Der Granatenkogel - ein Paradies für Granatsucher in den Ötztaler Alpen,,
Mineralienwelt 4 / 91,Reinhardt Baade,Alte Erzgruben zwischen Littfeld und Silberg im Siegerland,,
Mineralienwelt 4 / 91,"Martin Habel, Andreas Habel","Der ehemalige Kalksteinbruch Wimhof, Vilshofen an der Donau",,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf","Namuwit von der Grube Concordia, Niederfischbach, Siegerland",,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf",Dundasit von der Grube Silberkaule,,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf","Portlandit, Ettringit, Anhydrit und Vivianit von der Schlackenhalde Genna",,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf","Chenit und Tenorit von der Grube Churfürst Ernst, Bönkhausen",,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf",Hydromagnesit von der Grube Friedrichssegen,,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf",Kasolith von der Grube Clara,,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf",Perowskit vom Emmelberg,,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf","Vesigneit und ein unbekanntes Cu-Mineral vom Kahlenberg, Eifel",,
Mineralienwelt 4 / 91,"Günther Blaß, Hans Werner Graf",Dolomit - Siderit vom Mendiger- Grubenfeld,,
Mineralienwelt 4 / 91,"Dieter Götz, Fritz Schlegel",Sekundäre Kupfer- und Bleiminerale von der historischen Kupfergrube König David in Schneeberg,"Plumbogummit, Pyromorphit u.a.",
Mineralienwelt 5 / 91,Arthur Wittern,Mückeit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 05 300.pdf
Mineralienwelt 5 / 91,Maja Hocker,"Über ein Brochantit-Vorkommen im Döhlener Becken bei Freital, Sachsen",,
Mineralienwelt 5 / 91,Jaroslav Hyrsl,"Zwei neue Kupferphosphate aus Lubietova, Slowakei","Reichenbachit, Ludjibait",
Mineralienwelt 5 / 91,"Ole V. Petersen, Marcus Grossman",Aegirin und weitere interessante Mineralien eines neuen Fundes in Malawi,Mount Malosa,
Mineralienwelt 5 / 91,"Petr Pauli, Reiner Haake","Die Mineralien der Skarn- Lagerstätte Medenec (Kupferberg) im Erzgebirge, Tschechien",,
Mineralienwelt 5 / 91,Hans Werner Graf,"Die Grube Bendisburg bei Virneburg, Eifel",,
Mineralienwelt 5 / 91,"Wolfgang Büder, Axel Hiller, Werner Schuppan","Ein ungewöhnlicher Silberfund in der Lagerstätte Tellerhäuser bei Pöhla, Erzgebirge",,
Mineralienwelt 5 / 91,Helmut Schynschetzki,Zehn interessante Fundstellen im Erzgebirge,"Hammerunterwiesenthal, Wiesenbad, Heilige Dreifaltigkeit / Zschopau, Halsbach, Lorenz Gegentrum, Constantin-Schacht, Himmelsfürst, Glückauf-Schacht /Langenau, Grube Himmlisch Heer, Heerwassertal",
Mineralienwelt 5 / 91,Hasso Lutz Gehrmann,Furtschagl- und Reischbergkar über dem Schlegeisspeicher,,
Mineralienwelt 5 / 91,Günther Blaß,Psedokubische Quarzkristalle aus dem Unterkarbon der Nordeifel,,
Mineralienwelt 5 / 91,Erich Offermann,Zur Morphologie einiger Lengenbach- Mineralien,,
Mineralienwelt 6 / 91,Arthur Wittern,Dugganit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 06 300.pdf
Mineralienwelt 6 / 91,"Jimmy McNeil, Gerhard Niedermayr","Stand-on-Your-Head-Mine, Saline County, Arkansas",Cookeit und Fadenquarz,
Mineralienwelt 6 / 91,Franz Tuma,Über Fundstellen im südlichen Burgenland,"Urbarialsteinbruch Markt Neuhodis, Asbestbergbau Nußgraben-Rechnitz, Freingruberbruch Rechnitz, Blockwerk Geschriebenstein, Burg Lockenhaus, Steinbach, Bernstein Serpentinitbrüche, Bernstein Pechgraben, Unterkohlstätten 1.Bruch, U. 2.Bruch, Glasbachgraben, Wiesfleck, Revier Rumpersdorf, Steinbruch Rumpersdorf- Postmannsteinbruch, Klöcher Basaltwerke, Steinbruch Hannersdorf, Steinbruch Burg, Steinbruch Badersdorf, Steinbruch Holler in Badersdorf, Csaterberg - Kohfidisch, Steinbruch Kohfidisch- Tontaubenstan",
Mineralienwelt 6 / 91,"Reiner Haake, Fritz Schiemenz",Die Manganerzgänge von Oehrenstock bei Ilmenau in Thüringen und ihre Mineralien,,
Mineralienwelt 6 / 91,Ralph Vetter,"Die Mineralien der Grube Dorothea, Fuchshofen in der Eifel",,
Mineralienwelt 6 / 91,"Frank Oppenländer, Hermann joachim",Die Schatzkammer im Herzen des Wittichener Silberbergs,Der Gang Roter Löwe,
Mineralienwelt 6 / 91,Rolf Och,Museum Richterianum - eine Mineraliensammlung des 18. Jahrhunderts,,
Mineralienwelt 6 / 91,Steven C. Chamberlain,"Die Mineralien des Francon Quarry, Montreal Island, Quebec, Kanada",!,
Mineralienwelt 6 / 91,"Wieland Zahn, Nikolaus Brosig","Die Mineralien des Kuhbergbruches bei neumühle-Greiz, Thüringen",,
Mineralienwelt 6 / 91,Günther Blaß,Götzenit als neufund in einem sanidinitischen Auswürfling des Laacher See -Vulkans,,
Mineralienwelt 6 / 91,Jaroslav Hyrsl,Zeunerit von Cinovec im böhmischen Erzgebirge,,
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf",Djurleit von der Grube Clara,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1992 01 300.pdf
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf",Saukonit von der Grube Gottesehre,,
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf","Bindheimit, Chalcophyllit, Lavendulan, Calcium-Zink-Hydroxid-Hydrat von Münsterbusch",,
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf","Melanotekit, Zinkantimonspinell, Wüstit von der Schlackenhalde Genna",,
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf",Beudantit von der Grube Silberkaule,,
Mineralienwelt 1 / 92,"Günther Blaß, Hans Werner Graf","Harmotom, Gips und Titanit vom Granitsteinbruch Henneberg",,
Mineralienwelt 1 / 92,Wendell E. Wilson,Zehn berühmte Fundstellen im südlichen Arizona,"Red Cloud Mine, Mammoth-St.Anthony Mine, Bisbee, Old Yuma Mine, New Cornelia Mine, Glove Mine, Ray Mine, Rowley Mine, 79.Mine, Grandview Mine",
