Schweizer Strahler 1 / 67,Prof.Dr. Pierre Favarger,Ein Vorkommen durchsichtiger Calcite in der Nähe Genfs,Mornex,
Schweizer Strahler 1 / 67,H.A. Stalder,Das mineralogische Senkblei,,
Schweizer Strahler 1 / 67,Fritz Ringgenberg,Strahlerei im Oberhasli im Spiegel der Sage und von Kanzleiakten Teil 1,,
Schweizer Strahler 1 / 67,H.A. Stalder,"Strontianit von Zingel bei Seewen, Schwyz",,
Schweizer Strahler 1 / 67,H.A. Stalder,Rutilpseudomorphose nach Ilmenit,,
Schweizer Strahler 1 / 67,H.A. Stalder,Beryll aus einer Zerrkluft am Gotthardpass,,
Schweizer Strahler 2 / 67,Guido Gross,Der Skapolith-Fund 1966,Lago Tremorgio,
Schweizer Strahler 2 / 67,Fritz Ringgenberg,Strahlerei im Oberhasli im Spiegel der Sage und von Kanzleiakten Teil 2,,
Schweizer Strahler 2 / 67,Dr. Peter von Deschwanden,Die Riesenquarze vom Oedenwinkel,,
Schweizer Strahler 2 / 67,H. Siber,Die Fluoreszenz der Mineralien Teil 1,,
Schweizer Strahler 3 / 67,H.A.Stalder,Goethit und Lepidokrokit in den Zerrklüften der Schweizer Alpen,,
Schweizer Strahler 3 / 67,Dr.L. Werlen,Strahler im Oberwallis,,
Schweizer Strahler 3 / 67,H. Siber,Die Fluoreszenz der Mineralien Teil 2,,
Schweizer Strahler 4 / 67,Albert Imhasly,Die Mineralienfunde von Fiesch und Umgebung,,
Schweizer Strahler 4 / 67,P.Benoit Bickel,Kristalle des Mittelwallis,,
Schweizer Strahler 4 / 67,H. Siber,Die Fluoreszenz der Mineralien Teil 3,,
Schweizer Strahler 1 / 68,"H. Holenweg, H.A. Stalder",Neue Mineralien aus dem Schweizer Jura,,
Schweizer Strahler 1 / 68,H. Siber,Die Fluoreszenz der Mineralien Teil 4,,
Schweizer Strahler 2 / 68,Dr.H.Grossglauser,Mineralien in der antiken Kunst,,
Schweizer Strahler 2 / 68,"A, Frey",Zirkon aus den Strandseifen des Neuenburger Sees,Gold,
Schweizer Strahler 2 / 68,Albert Wagner ,Mineralien aus den Steinbrüchen von Arvigo,,
Schweizer Strahler 2 / 68,Franz Herzog,Neue Mineralien aus dem Schweizer Jura,,
Schweizer Strahler 3 / 68,"R. Martin, J. von Raumer",Quarz mit Faden aus alpinen Klüften,,
Schweizer Strahler 3 / 68,O. Hager,Die Namensgebung einiger Mineralien,,
Schweizer Strahler 3 / 68,H.A. Stalder,"Neuer Phenakitfund von Reckingen, Goms",,
Schweizer Strahler 3 / 68,Fritz Ringgenberg,Das Eisenbergwerk im Mühletal,,
Schweizer Strahler 3 / 68,Guido Gross,Fluoreszierende Schweizer Mineralien,,
Schweizer Strahler 4 / 68,Dr. Kurt Bächler,"Die alte Goldmine ""Goldene Sonne"" am Calanda, Graubünden und der gegenwärtige Stand ihrer Erforschung Teil 2",,
Schweizer Strahler 4 / 68,Silvio Lareida,Interessante Zerrkluftmineralien des Bergells,,
Schweizer Strahler 4 / 68,A. Frey,Barytneufund in der Schweiz,"Plasselb , Fribourg ; Rhoneschlucht nordöstlich Ernen",
Schweizer Strahler 4 / 68,Dr. Günther Klahre,Exkursionsbericht Kaiserstuhl,,
Schweizer Strahler 1 / 69,Dr. Kurt Bächler,"Die alte Goldmine ""Goldene Sonne"" am Calanda, Graubünden und der gegenwärtige Stand ihrer Erforschung Teil 2",,
Schweizer Strahler 2 / 69,Gerhard Gnehm,Von der Kristallgestalt zur Struktur,,
Schweizer Strahler 2 / 69,Franz Sigl,Phenakit aus einer mineralreichen Kluft im Tavetsch,Val Val,
Schweizer Strahler 3 / 69,A. Frey,Interessante Mineralienfunde im Jura,,
Schweizer Strahler 3 / 69,A. Wagner,Muskowit pseudomorph nach Skapolith,,
Schweizer Strahler 3 / 69,Rudolf Rykart,Morenositfund ob Zermatt,,
Schweizer Strahler 3 / 69,Dr. Kurt Bächler,"Die alte Goldmine ""Goldene Sonne"" am Calanda, Graubünden und der gegenwärtige Stand ihrer Erforschung Teil 3",,
Schweizer Strahler 4 / 69,Hans Holenweg,Mineralparagenesen im Schweizer Jura,,
Schweizer Strahler 4 / 69,Rudolf Rykart,Die Goldgewinnung im Kanton Luzern,,
Schweizer Strahler 4 / 69,Kurt Neughel,Granat aus den Steinbrüchen von Arvigo,,
Schweizer Strahler 1 / 70,Rudolf Rykart,Der Quarz,,
Schweizer Strahler 1 / 70,Hermann Ogi,"Die Molybdänglanzvorkommen im Baltschiedertal, Wallis",,
Schweizer Strahler 2 / 70,F. de Quervain,Über den Bau der alpinene Quarzkristalle,,
Schweizer Strahler 2 / 70,Roger Martin,Parallele Aneinanderreihung und Gruppenwachstum von Schweizer Mineralien,,
Schweizer Strahler 2 / 70,Silvio Lareida,Elba - einmal anders,,
Schweizer Strahler 3 / 70,A. Haenisch,Auf Südwest - Afrika - Tour,Namibia,
Schweizer Strahler 3 / 70,Heinz Balmer,Wie man im alten Staate Bern die Bewilligung zum Abbau einer Kristallgrube erhielt,,
Schweizer Strahler 3 / 70,E. Lerf,Barytkugeln im Habkerntal,,
Schweizer Strahler 3 / 70,Rudolf Rykart,"Quarz mit Erdöleinschlüssen vom Rotzloch, Niedwalden",,
Schweizer Strahler 3 / 70,Christian Reufer,Gelber Turmalin aus dem Tessin,,
Schweizer Strahler 3 / 70,Martin Nyffeler,Turmalin aus der Valle della Madonna bei Brissago,,
Schweizer Strahler 3 / 70,Rudolf Rykart,Farbige Turmaline in Hellglimmerschiefer aus dem Zermattergebiet,,
Schweizer Strahler 4 / 70,Gerhard Gnehm,Vom Mineralreichtum der Zone Zermatt - Saas Fee,,
Schweizer Strahler 4 / 70,Rudolf Rykart,"Ungewöhnliche Quarzverwachsung vom Galenhorn im Saasertal, Wallis",,
Schweizer Strahler 4 / 70,Martin Nyffeler,Kleine Studie an Granatkristallen,,
Schweizer Strahler 4 / 70,Franz Herzog,Wunderschöne Quarze im Unteren Malm von Eptingen,,
Schweizer Strahler 5 / 71,"A. Edenharter, W. Nowacki",Einführung in die Kristallographie Teil 1,,
Schweizer Strahler 5 / 71,Rudolf Rykart,"Nadelquarze von Paltano im hinteren Val Bedretto, Tessin",,
Schweizer Strahler 5 / 71,A. Frey,Vom Wesen der Mineralisation des Schweizer Jura,,
Schweizer Strahler 6 / 71,"A. Edenharter, W. Nowacki",Einführung in die Kristallographie Teil 2,,
Schweizer Strahler 6 / 71,Rudolf Rykart,"Der violette Fluorit von Vorder Tal (Kerenzerberg), Glarus",,
Schweizer Strahler 6 / 71,Hans Holenweg,Neue Funde von Baryt im Schweizer Jura,,
Schweizer Strahler 6 / 71,Chr. Alean,"Vom ""Öhrlidiamanten"" zum Stern- und Szepterquarz Teil 1",,
Schweizer Strahler 7 / 71,"A. Edenharter, W. Nowacki",Einführung in die Kristallographie Teil 3,,
Schweizer Strahler 7 / 71,Hermann Ogi,"Die Molybdänglanzvorkommen im Baltschiedertal, Wallis, Ergänzung",,
Schweizer Strahler 7 / 71,Walter Zeitschel,Meteorite - Trümmer fremder Welten,,
Schweizer Strahler 8 / 71,Rudolf Rykart,Die Feldspatmineralien,!,
Schweizer Strahler 8 / 71,Roger Martin,Paralleles Wachstum von Mineralien : Albit,,
Schweizer Strahler 8 / 71,Katharina Schmid,Das Goldvorkommen im Napfgebiet,,
Schweizer Strahler 8 / 71,A. Frey,"Szepterquarz und Amianth von der Alp Prasura, Engadin",,
Schweizer Strahler 9 / 72,Hans Holenweg,Kupferkies und Malachit im Schweizer Jura,,
Schweizer Strahler 9 / 72,Quitin Wight,Pilgerfahrt ins Binntal,Rudolf Rykart (Übs.),
Schweizer Strahler 9 / 72,A. Frey,Chrysoberyll aus dem Albignagebiet,,
