Mineralogical Record 1 / 1970,"Clifford Frondel, Harvard University",Early New England Mineral Collections,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1970 01 300.pdf
Mineralogical Record 1 / 1970,"George E. Ericksen, Mary E. Mrose, Joseph J. Fahey, U.S. Geological Survey",Ice Clear Mirabilite from Chile,,
Mineralogical Record 1 / 1970,"Brian Mason, The Smithsonian Institution",Lunar Mineralogy,,
Mineralogical Record 1 / 1970,Richard A. Bideaux,A Multiple Japan Law Quartz Twin,,
Mineralogical Record 2 / 1970,Joel E. Arem,Preserving Mineral Localities,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1970 02 300.pdf
Mineralogical Record 2 / 1970,Richard V. Gaines,The Moctezuma Tellurium Deposit ,,
Mineralogical Record 2 / 1970,Kent C. Brannock,Specimen Cleaning Reagents,,
Mineralogical Record 2 / 1970,Clifford Frondel,New Minerals From New England,,
Mineralogical Record 2 / 1970,"William A. Henderson, Jr",Building A One – CircIe Optical Goniometer,,
Mineralogical Record 2 / 1970,D. D. Hogarth,Mineral Occurences in the Western Lake Baikal District U.S.S.R ,,
Mineralogical Record 2 / 1970,Sidney A. Williams,"Tilasite from Bisbee, Arizona",,
Mineralogical Record 2 / 1970,"William A. Henderson, Jr.",Bavenite from Connecticut,,
Mineralogical Record 2 / 1970,,"Locality - Minas Gerais, Brazil",,
Mineralogical Record 2 / 1970,"John S. White, Jr.",New Data for Plattnerite,,
Mineralogical Record 3 / 1970,George Switzer,IMA Seventh General Meeting,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1970 03 300.pdf
Mineralogical Record 3 / 1970,"William A. Henderson, Jr.",Rutile From Watertown Connecticut,,
Mineralogical Record 3 / 1970,"Peter B. Leavens, John S. White, Jr., Max H. Hey",Eakerite – A New Tin Silicate,,
Mineralogical Record 3 / 1970,Max Weibel,Cenosite From Switzerland,,
Mineralogical Record 3 / 1970,"Peter G. Embrey, Max H. Hey",Type Specimens In Mineralogy ,,
Mineralogical Record 3 / 1970,Richard A. Bideaux,Mineral Rings & Cylinders,,
Mineralogical Record 3 / 1970,Ba Saw Khin,"Cornetite From Saginaw Hill, Arizona",,
Mineralogical Record 3 / 1970,Michael Fleischer,Some Possible New Minerals Not Yet Found,,
Mineralogical Record 3 / 1970,Richard S. Mitchell,An Occurrence Of Basaluminite ln Maryland,,
Mineralogical Record 4 / 1970,John Sinkankas,First Mineralogy Published In The U.S.?,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1970 04 300.pdf
Mineralogical Record 4 / 1970,"John S. White, Jr., Eugene Jarosewich",Second Occurrence Of Benstonite,,
Mineralogical Record 4 / 1970,Tomas Feininger,Emerald Mining ln Colombia: History & Geology,,
Mineralogical Record 4 / 1970,Mike Groben,"Natrolite And Analcime From Eckman Creek Quarry, Waldport, Oregon",,
Mineralogical Record 4 / 1970,Paul B. Moore,"Mineralogy & Chemistry of Langban-type Deposits In Bergslagen, Sweden ",,
Mineralogical Record 1 / 1971,"G. J. Jansen, N. C. Schieltz","Delafossite, CuFeO 2, From the Kirwin Mineralized Area, Wyoming",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1971 01 300.pdf
Mineralogical Record 1 / 1971,Brian Lloyd,Mineral Auctions At Sothebys Of London,,
Mineralogical Record 1 / 1971,Alvaro Lucio,"Locality – Minas Gerais, Brazil: A Response",,
Mineralogical Record 1 / 1971,"F. A. Keidel, A. Montgomery, C. W. Wolfe, R. P. Christian",Calcian Ancylite From Pennsylvania: New Data,,
Mineralogical Record 1 / 1971,Joe Rothstein,“Stevensite“: A Review,,
Mineralogical Record 1 / 1971,R. Haefner,"A Note On ""Lancasterite"" From Cedar Hill and Texas, Pennsylvania",,
Mineralogical Record 1 / 1971,Richard V. Gaines,"Mineral Collecting At Monte Redondo, Portugal",,
Mineralogical Record 1 / 1971,K. C. Brannock,"Minerals Of The Spinel Group From Alleghany County, North Carolina",,
Mineralogical Record 2 / 1971,W. Thompson,"Rodingite Near The Thetford Mines, Quebec",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralogical Record\Mineralogical Record als pdf\Mineralogical Record 1971 02 300.pdf
Mineralogical Record 2 / 1971,Joel E. Arem,The State of the Art: X-Ray Crystallography (1 - The Basics),,
Mineralogical Record 2 / 1971,M. Santoni,"Chessy, France",,
Mineralogical Record 2 / 1971,"Richard V. Gaines, Decio Thadeu","The Minerals of Panasqueira, Portugal",,
Mineralogical Record 2 / 1971,Richard V. Dietrich ,Quartz - Two New Blues,,
