Lapis 5 / 1977,Dr. E. Gübelin,Einschlüsse in Fluorit,Fluorit,
Lapis 5 / 1977,Dr. K. L. Weiner,Thermolumineszenz,Fluorit,
Lapis 5 / 1977,Dr. K. L. Weiner,Kristallformen: das Hexakisoktaeder,,
Lapis 5 / 1977,S. Lareida,Die Mineralienfundgebiete im Bergell,,
Lapis 6 / 1977,,Landsbergit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 06 300.pdf
Lapis 6 / 1977,H. Schmetzer,“Katzeldonien und gut Rötelstein”,Wichtige Fundstellen in Rheinland-Pfalz,
Lapis 6 / 1977,K. E. Wild,Das Schatzkästchen von Idar-Oberstein,,
Lapis 6 / 1977,Dr. H. W. Wild,Das Hosenberger Revier,Kupferbergwerk Fischbach,
Lapis 6 / 1977,Dr. G. Müller,Tektonik und Mineralisation,Saar – Nahe – Raum,
Lapis 6 / 1977,Dr. K. L. Weiner,"Kristallformen: Kombinationen kubischer Kristallformen, Tracht und Habitus",,
Lapis 6 / 1977,Dr. H. Weniger,Weitendorf,,
Lapis 6 / 1977,Dr. H. J. Wilke,Persisches Tagebuch: 1. Valilu – Shah Kuh – Sungun – Andjert – Zendabad – Gomuchkan – Djuban – Maraeh – Khaneh-Surmeh – Dareh-Bid,,
Lapis 7 / 1977,,Epidot,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 07 300.pdf
Lapis 7 / 1977,H. Manhold,Besuch im Bauch der Berge,Besucherbergwerke in Deutschland,
Lapis 7 / 1977,K. Fischer,Edelstein Epidot,,
Lapis 7 / 1977,Prof. Dr. C. M. Gramaccioli,Nicht nur die Mussa Alpe ...,italienische Rodingite,
Lapis 7 / 1977,T. Fischer,"Lohningbruch, Rauris",,
Lapis 7 / 1977,Dr. H. J. Wilke,Persisches Tagebuch: 2. Anarak – Nahlak – Tschah Karbuzeh – Tschah Mileh ,,
Lapis 7 / 1977,Dr. K. L. Weiner,Kristallformen: Zwillinge kubischer Kristalle,,
Lapis 8 / 1977,,Korund,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 08 300.pdf
Lapis 8 / 1977,Prof.Dr. K. Schmetzer,"Chrom, Eisen und Titan",Farbursachen der Korunde,
Lapis 8 / 1977,Prof.Dr. L. Baric,Im weißen Marmor,"Korunde aus Mazedonien, Prilep",
Lapis 8 / 1977,Prof.Dr. H. Meixner,"Rubin von Longodo, Tansania",,
Lapis 8 / 1977,Dr. F. Bianconi,"Campolungo, Tessin",Schweizer Rubin,
Lapis 8 / 1977,Prof.Dr. E. Gübelin,Im Tal der Rubine,"Mogok, Burma",
Lapis 8 / 1977,"Prof.Dr. E. Gübelin, Prof.Dr. M. Weibel, Dr. K. Girmis, Dr. R. Wessickert",Die Struktur der Sterne,"schwarzer Sternsaphir von Bang-kha-cha, Thailand",
Lapis 8 / 1977,K. Fischer,Die zweifache Kraft,Cyanit,
Lapis 8 / 1977,Dr. K. L. Weiner,Kristallformen: Kristallwachstum (1) – die Raumgitter von Kristallen,,
Lapis 9 / 1977,Dr. W. Lieber,"Cripple Creek, Colorado",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 09 300.pdf
Lapis 9 / 1977,Prof. Dr. A. Helke,Das goldene Viereck,Siebenbürgen,
Lapis 9 / 1977,Dr. K. Bächtiger,Von der Goldenen Sonne,"Calanda, Schweiz",
Lapis 9 / 1977,G. Gebhard,Kostbare Mineralien:Samsonit,,
Lapis 9 / 1977,F. Pfaffl,Der Silberberg bei Bodenmais,,
Lapis 9 / 1977,Dr. K. L. Weiner,Kristallformen: Kristallwachstum (2) Der Kugelwachstumsversuch,,
Lapis 9 / 1977,Dr. H. Weniger,Ein bemernkenswerter Scheelitfund von der Rauris,,
Lapis 9 / 1977,Dr. H. J. Wilke,"Persisches Tagebuch: 3. Meskani – Talmessi , Tschah Palang, Tschah Kuni, Kali-Kafi",,
Lapis 9 / 1977,Dr. A. Günther,Bestimmen – leicht gemacht,,
Lapis 10 / 1977,Dr. W. Lieber,"Der Brand von Cobalt, Ontario",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 10 300.pdf
Lapis 10 / 1977,V. Betz,“Das goldene Kalb hinter der eisernen Tür”,Die Mineralien der Grube Clara,
Lapis 10 / 1977,F. Pfaffl,Schrift im Stein,Schriftgranit,
Lapis 10 / 1977,D. Vandenburg,"Kämmererit von Gül Penbe, Türkei",,
Lapis 10 / 1977,Dr. S. Schwarzmann,Familie Feldspat (1),Kalifeldspäte,
Lapis 10 / 1977,F. Bauer,Sammelnotizen aus Spanien,"Katalonien, Teruel, Cuenca, Guadalajara",
Lapis 10 / 1977,Dr. K. L. Weiner,Kristallformen: Kristallwachstum (3) ,,
Lapis 10 / 1977,Dr. H. J. Wilke,Persisches Tagebuch: 4. Gowde – Mehdi-Abad – Zarehchuran,,
Lapis 10 / 1977,Dr. A. Günther,Bestimmen – leicht gemacht,,
Lapis 11 / 1977,,Zinkblende,Sphalerith,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 11 300.pdf
Lapis 11 / 1977,Prof. Dr. L. Baric,Die 70 Mineralien vom “Alten Markt”,"Trepca, Jogoslawien",
Lapis 11 / 1977,G. Gebhard,Vom Venetianerstollen zum Schaubergwerk,,
Lapis 11 / 1977,Dr. H. J. Wilke,Picos de Europa,Sphalerith aus Spanien,
Lapis 11 / 1977,K. Fischer,Geschliffene Blenden,,
Lapis 11 / 1977,F. Bauer,Sammelnotizen aus Spanien,"Almeria, Murcia",
Lapis 11 / 1977,Dr. K. L. Weiner,Kristallformen: die tetragonale Dipyramide (1),,
Lapis 11 / 1977,Dr. M. Günther,Das Deutsche Edelsteinmuseum,,
Lapis 12 / 1977,,De nive sexangula,Schneekristalle,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 12 300.pdf
Lapis 12 / 1977,Prof. Dr. H. von Phillipsborn,"Whiskers, Hoppers und Dendriten",,
Lapis 12 / 1977,Dr. G. M. Neumann,Wachstumsformen von Wolframkristallen,,
Lapis 12 / 1977,R. Rykart,Fenster und Libellen,Skelettwachstum bei Quarzkristallen,
Lapis 12 / 1977,"H. Esser, R. Hochleitner, Dr. W. Lieber, Dr. E. Offermann, H. Schmeltzer",Seltene Skelette und Dendriten,,
Lapis 12 / 1977,Dr. W. Lieber,Gestricktes Metall,,
Lapis 12 / 1977,K. Fischer,Landschaften im Stein,,
Lapis 12 / 1977,K. Freyer,Reflexe in Mineralien,,
Lapis 12 / 1977,Dr. S. Schwarzmann,Familie Feldspat (2),Die Zwillinge der Feldspäte,
Lapis 12 / 1977,Dr. H. Klingele,Was ist REM ?,,
Lapis 12 / 1977,E. Harrlicke,Fasern im Mineralreich,,
Lapis 12 / 1977,Dr. K. L. Weiner,Kristallformen: die tetragonale Dipyramide (2),,
Lapis 1 / 1978,,Die Zeolithfamilie,Atlas der Zeolithe,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 01 300.pdf
Lapis 1 / 1978,Prof. Dr. C. Tennyson,Zeolithe om Basalt des Großen Teichelberges,,
Lapis 1 / 1978,Prof. Dr. P. Ramdohr,“Versteinerten Tropfen gleich ...”,Natrolith vom Hohentwiel,
Lapis 1 / 1978,Dr. H. Leyerzapf,Aus Blasen und Mandeln,Zeolithe aus Westdeutschland,
Lapis 1 / 1978,Dr. W. Lieber,"Das Antas, Brasilien",,
Lapis 1 / 1978,Prof. Dr. S. Koch,Die Zeolithe von Ungarn,,
Lapis 1 / 1978,V. Betz,Was geschah nach Olafr Olafsons Brief ?,Zeolithe Islands,
Lapis 1 / 1978,"V. Betz, Dr. W. Lieber, Dr. H. Weninger",Fundorte von Zeolithen,,
Lapis 2 / 1978,R. Hochleitner,Die Berylliumpegmatite von Tittling im Bayerischen Wald,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 02 300.pdf
Lapis 2 / 1978,Prof. Dr. C. M. Gramaccioli,"Die Pegmatite der Granitsteinbrüche von Baveno, Italien",,
Lapis 2 / 1978,Prof. Dr. E. Gübelin,"Jadeit, der grüne Schatz aus Burma",,
Lapis 2 / 1978,R. H. Currier,Bombay – Poona – Nasik,Zeolithe  ,
Lapis 2 / 1978,Dr. G. Niedermayr,Seit 1848 in Tresoren versteckt,Edelsteine in Naturhistorischen Museum Wien,
Lapis 2 / 1978,S. u. P. Huber,Die Geschichte des Naturhistorischen Museum Wien,,
Lapis 2 / 1978,Dr. K. L. Weiner,Kristallformen: offene Formen im tetragonalen Kristallsystem,,
Lapis 2 / 1978,,Winkelmessungen an Kristallen,,
Lapis 3 / 1978,,Der Kaiserstuhl,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 03 300.pdf
Lapis 3 / 1978,H. Wülfrath,"Lava, Löß und Orchideen",,
Lapis 3 / 1978,W. Simon,Vulkane – Ventile der Erdtiefe,,
Lapis 3 / 1978,W. Wimmenauer,Mineralien aus dem Karbonatit,,
Lapis 3 / 1978,V. Betz,Zeolithe im Kaiserstuhl,,
Lapis 3 / 1978,G. Fricke,Irisierende Kugeln und Häutchen,Hyalit,
Lapis 3 / 1978,,"Melanit, Sodalith und Andere",Kaiserstuhl,
Lapis 3 / 1978,Dr. K. L. Weiner,Kristallformen: offene Formen im tetragonalen Kristallsystem (2),,
Lapis 3 / 1978,,Mente et malleo,,
Lapis 4 / 1978,,Beryll,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 04 300.pdf
Lapis 4 / 1978,Prof. Dr. C. Tennyson,Gerüste aus Ketten und Schichten,Kristallstruktur des Beryll,
Lapis 4 / 1978,C. Caspari,Smaragd von Swerdlowsk,,
Lapis 4 / 1978,Prof.Dr. E. Althaus,Fehler in der Struktur,Färbung von Beryll,
Lapis 4 / 1978,M. O´Donoghue,Aquamarin und Morganit,,
Lapis 4 / 1978,Prof.Dr. E. Gübelin,Charakteristische Einschlußbilder,in Aquamarin und Smaragd,
Lapis 4 / 1978,K. Nassau,Wie Mahlwerke von Zuckerrohr,Trapiche Smaragde,
Lapis 4 / 1978,Prof.Dr. K. Becker,Smaragdsynthesen,,
Lapis 4 / 1978,C. A. Galas,"Thomas Range, Utah",,
Lapis 4 / 1978,Dr. K. L. Weiner,Kristallformen: Tracht und Habitus von Beryll-Kristallen,,
Lapis 4 / 1978,W. Galia,Durch Zufall entdeckt,Farbveränderungen bei Beryllen,
Lapis 5 / 1978,K. Fischer,Barock aus der Trommel,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 05 300.pdf
Lapis 5 / 1978,Dr. A. Hanauer,Serifos – das Elba Griechenlands,,
Lapis 5 / 1978,H. u. E. Grolig,Laurion in Attika,,
Lapis 5 / 1978,H. u. E. Grolig,Die Mineralien von Laurion,,
Lapis 5 / 1978,Dr. W. Paar,"Mitterberg, Mühlbach / Salzburg",,
Lapis 5 / 1978,Dr. W. Paar,Die Mineralien von Mitterberg,,
Lapis 5 / 1978,Dr. K. L. Weiner,Kristallformen: tetragonale Disphenoide,,
Lapis 5 / 1978,Dr. J. Clemente,Die Seiten für den jungen Sammler: Bestimmen,,
Lapis 5 / 1978,U. Ben-Rehav,Die Äpfel des Elias,,
Lapis 6 / 1978,U. Kraeft,Emser Tönnchen,Pyromorphit,
Lapis 6 / 1978,,"Farges, Frankreich",Pyromorphit,
Lapis 6 / 1978,,"Zschopau, Sachsen",Pyromorphit,
Lapis 6 / 1978,,Pseudomorphose von Bleiglanz nach Pyromorphit,Kautenbach,
Lapis 6 / 1978,,Pyromorphit vom Schauinsland,Pyromorphit,
Lapis 6 / 1978,,"Hofsgrund, Baden",Pyromorphit,
Lapis 6 / 1978,Dr. K. L. Weinert,Vom eisernen Hut,Mimetesit,
Lapis 6 / 1978,Prof. Dr. C. Tennyson,Mimetesit von Tsumeb,Mimetesit,
Lapis 6 / 1978,,Kampylit von Cumberland,Mimetesit,
Lapis 6 / 1978,,Mimetesit von Alston,Mimetesit,
Lapis 6 / 1978,,"Ahnmada, Mexico",Mimetesit,
Lapis 6 / 1978,,Schwarzwald,Mimetesit,
Lapis 6 / 1978,"A. Voileau, G. Chaminant",Vanadinit von Mibladen,Vanadinit,
Lapis 6 / 1978,R. A. Bideaux,"Old Yuma Mine, Arizona",Vanadinit,
Lapis 6 / 1978,,Endlichit-Kristalle von Mexico,Vanadinit,
Lapis 6 / 1978,,Apache Mine,Vanadinit,
Lapis 6 / 1978,,Obir,Vanadinit,
Lapis 6 / 1978,,Gowde,Vanadinit,
Lapis 6 / 1978,,Berg Aukas,Vanadinit,
Lapis 6 / 1978,K. Fischer,Trommelschleifen 2,,
"Lapis 7, 8 / 1978",,Der Pinzgau,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 07 08 300.pdf
"Lapis 7, 8 / 1978",H.H.Lorenz,Die Venedigermandeln heute,Strahler,
"Lapis 7, 8 / 1978",Dr. H. Weniger,Bedeutende Mineralvorkommen im Pinzgau,,
"Lapis 7, 8 / 1978",T. Fischer,Der Diabasbruch Saalfelden,,
"Lapis 7, 8 / 1978",R. F. Ertl,Goldrausch in den Tauern,,
"Lapis 7, 8 / 1978",A. Strasser,Das Stubachtal und seine Mineralien,,
"Lapis 7, 8 / 1978",Prof. Dr. E. J. Zirkl,"Der Totenkopf, Stubachtal",,
"Lapis 7, 8 / 1978",Dr. F. Koller,Hicht nur Smaragde,Habachtal,
"Lapis 7, 8 / 1978",Dr. R. Seemann,Die Knappenwand,,
"Lapis 7, 8 / 1978",Dr. R. Höll,Die Scheelitlagerstätte Felbertal bei Mittersill,,
"Lapis 7, 8 / 1978",Prof. Dr. H. Meixner,Topaskristalle von der Stockeralm,,
"Lapis 7, 8 / 1978",Dr. G. Niedermayr,Berylliumminerale aus dem Pinzgau,,
"Lapis 7, 8 / 1978",N. Rassenberg,Heimatmuseum Saalfelden,Pinzgau,
"Lapis 7, 8 / 1978",Dr. K. L. Weiner,Kristallformen: das tetragonale Trapezoeder,,
"Lapis 7, 8 / 1978",G. Gebhard,Neue Mineralien,,
"Lapis 7, 8 / 1978",Dr. S. Schwarzmann,Familie Feldspat (3),Die Alkalifeldspäte,
"Lapis 7, 8 / 1978",Dr. H. Ziehr,Umgang mit radioaktiven Mineralen,,
"Lapis 7, 8 / 1978",Dr. K. L. Weiner,Mineralogie als Beruf,,
Lapis 9 / 1978,,Das Tavetsch,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1978 09 300.pdf
Lapis 9 / 1978,Prof. Dr. M. Weibel,Tavetsch – Landschaft am Oberalppass,,
Lapis 9 / 1978,Prof. Dr. M. Weibel,Tavetsch – Mineralien,,
Lapis 9 / 1978,J. Kreiliger,Jeder Strahltag hat seinen Reiz,,
Lapis 9 / 1978,"Prof. Dr. E. Niggli, R. Monn",Über das Vorkommen eines Minerales der Davidit-Crichtonit-Reihe in einer alpinen Zerrkluft im Tavetsch,,
Lapis 9 / 1978,Z. Fejer,Die Cavradischlucht,,
Lapis 9 / 1978,J. Kreiliger,Strahlerverordnung für das Bündner Oberland – Die Uniun Cristallina Disentis,,
Lapis 9 / 1978,Dr. H. A. Hänni,Bazzit aus dem Tavetsch,,
Lapis 9 / 1978,Dr. K. L. Weiner,"Kristallformen: mit Phytagoras, Taschenrechner und Zirkel",,
Lapis 9 / 1978,G. Gebhard,Neue Mineralien : Keyit,,
